#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
1795;B1802+03;J1805+0306;NAN;NAN;NAN;49946.00;30.413;11.708;271.29231094;3.10840942;0.218712;9.99e-16;80.86;7.700;12.000;0.00;5.00;NAN;NAN;5.253;5.253;1.066;2.604;4.064;NAN;gb3,gbncc,lotaas,pkssw;NAN;
1796;J1805-0619;J1805-0619;NAN;NAN;NAN;51650.00;21.990;7.225;271.38098333;-6.32927778;0.454651;9.69e-16;147.10;15.000;27.000;NAN;NAN;0.90;NAN;5.429;5.429;0.683;2.017;3.506;NAN;pkssw,gbncc,htru_pks;NAN;
1797;J1805-1504;J1805-1504;NAN;NAN;NAN;53035.00;14.246;3.093;271.27541667;-15.07666667;1.181269;2.73e-16;225.00;229.000;340.000;NAN;NAN;3.70;NAN;5.409;5.409;0.292;1.329;3.265;NAN;pksmb,htru_pks;NAN;
1798;J1805-2032;J1805-2032;NAN;NAN;NAN;51149.00;9.530;0.313;271.40454167;-20.54750000;0.405769;8.39e-15;932.00;26.300;NAN;NAN;NAN;0.70;NAN;6.693;6.693;0.037;1.108;1.899;NAN;pksmb,htru_pks;NAN;
1799;J1805-2037;J1805-2037;NAN;NAN;NAN;51388.00;9.449;0.307;271.36745833;-20.62111111;0.357807;1.76e-15;708.10;13.200;NAN;NAN;NAN;0.34;NAN;4.983;4.983;0.027;0.818;3.585;NAN;pksmb,htru_pks;NAN;
1800;J1805-2447;J1805-2447;NAN;NAN;NAN;51936.00;5.807;-1.725;271.35804167;-24.79166667;0.661402;5.82e-18;269.00;11.000;22.000;NAN;NAN;0.27;NAN;4.576;4.576;-0.138;0.463;3.950;NAN;pksmb;NAN;
1801;J1805-2948;J1805-2948;NAN;NAN;NAN;55137.00;1.456;-4.217;271.42704167;-29.80000000;0.428341;4.74e-16;167.90;9.200;22.000;NAN;NAN;0.20;NAN;4.589;4.589;-0.337;0.116;3.925;NAN;htru_pks;NAN;
1802;J1806+1023;J1806+1023;NAN;NAN;NAN;53000.00;37.305;14.560;271.71714167;10.38841667;0.484286;5.73e-17;52.00;1.800;17.800;NAN;NAN;NAN;NAN;2.951;2.951;0.742;1.731;6.228;NAN;pkssw,fast_gpps;NAN;
1803;B1804-12;J1806-1154;NAN;NAN;NAN;50134.00;17.142;4.417;271.52829745;-11.90798496;0.522618;1.41e-15;122.41;32.000;39.000;0.00;4.00;2.70;NAN;3.005;3.005;0.231;0.883;5.637;NAN;gb3,htru_pks,pks70,pksmb;NAN;
1804;J1806-1618;J1806-1618;NAN;NAN;NAN;51843.00;13.323;2.213;271.60741667;-16.31055556;0.668309;8.62e-16;319.00;34.000;NAN;NAN;NAN;0.22;NAN;10.155;10.155;0.392;2.338;-1.374;NAN;pksmb,htru_pks;NAN;
1805;J1806-1920;J1806-1920;NAN;NAN;NAN;51271.00;10.641;0.802;271.52750000;-19.33972222;0.879791;1.70e-17;683.00;659.900;NAN;NAN;NAN;1.40;NAN;12.798;12.798;0.179;2.363;-4.077;NAN;pksmb,htru_pks;NAN;
1806;J1806-2125;J1806-2125;NAN;NAN;NAN;55349.00;8.811;-0.280;271.58250000;-21.46543889;0.481825;1.18e-13;747.00;34.000;55.000;NAN;NAN;0.80;NAN;4.887;4.887;-0.024;0.749;3.671;NAN;pksmb,htru_pks;NAN;
1807;J1806-21250;J1806-21250;NAN;NAN;NAN;NAN;8.850;-0.252;271.57600000;-21.41694444;0.172004;NAN;555.00;NAN;NAN;NAN;NAN;NAN;NAN;4.368;4.368;-0.019;0.672;4.184;NAN;mmgps-l;NAN;
1808;J1807+04;J1807+04;NAN;NAN;NAN;56496.00;31.560;11.650;271.85416667;4.08333333;0.798900;NAN;52.60;9.500;12.400;NAN;NAN;NAN;NAN;2.354;2.354;0.475;1.207;6.535;NAN;ar327,fast_gpps;NAN;
1809;J1807+0756;J1807+0756;NAN;NAN;NAN;53064.00;35.149;13.276;271.96347917;7.94538611;0.464300;1.29e-16;89.20;13.300;20.600;NAN;2.16;NAN;NAN;7.914;7.914;1.817;4.434;2.202;NAN;ar4,gb4,fast_gpps;NAN;
1810;B1804-08;J1807-0847;-5.000;1.000;NAN;48244.00;20.061;5.587;271.90844750;-8.79535278;0.163727;2.88e-17;112.38;5.900;12.000;0.00;65.00;18.00;NAN;1.500;2.700;0.146;0.512;7.098;NAN;mol2,gb3,htru_pks,pks70,pksmb,pkssw;NAN;
1811;J1807-2557;J1807-2557;NAN;NAN;NAN;54984.00;4.987;-2.646;271.80691667;-25.95555556;2.764195;4.99e-15;385.00;4.000;NAN;NAN;NAN;NAN;NAN;18.555;18.555;-0.857;1.611;-9.965;NAN;pksmb;RRAT;
1812;B1804-27;J1807-2715;NAN;NAN;NAN;49891.00;3.843;-3.257;271.78539637;-27.25082303;0.827776;1.22e-14;312.98;9.700;25.000;0.00;25.00;0.91;NAN;15.391;15.391;-0.874;1.030;-6.832;NAN;mol2,gbncc,htru_pks,pks70,pksmb;NAN;
1813;J1808+00;J1808+00;NAN;NAN;NAN;49717.00;28.480;9.844;272.07916667;0.56666667;0.425115;NAN;149.00;11.500;21.100;NAN;NAN;NAN;NAN;25.000;25.000;4.274;11.746;-13.151;NAN;ar4,gbncc,pkssw,fast_gpps;NAN;
1814;J1808-0813;J1808-0813;NAN;NAN;NAN;50862.00;20.634;5.750;272.03930190;-8.21716578;0.876044;1.24e-15;151.27;23.000;38.000;0.00;28.00;1.60;NAN;3.971;3.971;0.398;1.392;4.802;NAN;pks70,gbncc,htru_pks,pksmb,pkssw;NAN;
1815;J1808-1020;J1808-1020;NAN;NAN;NAN;53035.00;18.828;4.600;272.19014167;-10.34675000;0.596993;7.72e-16;225.30;9.300;26.000;NAN;NAN;0.23;NAN;8.075;8.075;0.648;2.598;0.882;NAN;pksmb,htru_pks;NAN;
1816;J1808-1517;J1808-1517;NAN;NAN;NAN;55105.40;14.472;2.239;272.16287500;-15.29444444;0.544549;2.67e-15;205.00;9.000;18.000;NAN;NAN;0.35;NAN;4.306;4.306;0.168;1.075;4.334;NAN;pksmb,htru_pks;NAN;
1817;J1808-1726;J1808-1726;NAN;NAN;NAN;53108.00;12.599;1.188;272.17625000;-17.44083333;0.241035;1.16e-17;536.00;66.000;NAN;NAN;NAN;0.39;NAN;14.163;14.163;0.294;3.089;-5.319;NAN;pksmb,htru_pks;NAN;
1818;J1808-2024;J1808-2024;-4.500;-7.000;NAN;53254.00;9.996;-0.242;272.16390417;-20.41106944;7.555920;5.49e-10;NAN;NAN;NAN;NAN;NAN;NAN;NAN;13.000;NAN;-0.055;2.256;-4.303;SNR:G10.0-0.3(?),XRS:SGR_1806-20;misc;AXP,NRAD;
1819;B1805-20;J1808-2057;NAN;NAN;NAN;49612.00;9.446;-0.400;272.02665192;-20.96875681;0.918410;1.71e-14;606.80;76.000;84.500;0.04;NAN;2.60;NAN;4.586;4.586;-0.032;0.753;3.976;NAN;jb2,htru_pks,pks1,pksmb;NAN;
1820;J1808-2701;J1808-2701;NAN;NAN;NAN;53112.00;4.160;-3.357;272.05512500;-27.02250000;2.457882;6.58e-14;95.00;23.000;80.000;NAN;NAN;0.15;NAN;2.705;2.705;-0.158;0.196;5.807;NAN;pksmb;NAN;
1821;J1808-3249;J1808-3249;NAN;NAN;NAN;51500.00;359.035;-6.115;272.01866667;-32.82611111;0.364912;7.05e-15;147.30;5.000;18.000;NAN;NAN;1.70;NAN;6.269;6.269;-0.668;-0.105;2.268;NAN;pkssw,gbncc,htru_pks;NAN;
1822;J1809+17;J1809+17;NAN;NAN;NAN;NAN;43.842;16.864;272.27500000;17.06666667;2.066700;NAN;45.50;3.500;7.700;NAN;NAN;NAN;NAN;2.943;2.943;0.854;1.951;6.469;NAN;lotaas,fast_gpps;NAN;
1823;J1809-0119;J1809-0119;NAN;NAN;NAN;55254.00;26.962;8.627;272.46400000;-1.32472222;0.744976;2.29e-15;140.00;5.800;11.000;NAN;NAN;NAN;NAN;11.085;11.085;1.663;4.969;-1.268;NAN;htru_pks,gbncc,fast_gpps;NAN;
1824;J1809-0743;J1809-0743;NAN;NAN;NAN;51650.00;21.247;5.675;272.39966667;-7.71705556;0.313886;1.52e-16;240.70;13.000;18.000;NAN;NAN;0.30;NAN;13.998;13.998;1.384;5.048;-4.483;NAN;pkssw,pksmb;NAN;
1825;J1809-1429;J1809-1429;NAN;NAN;NAN;51495.00;15.306;2.393;272.43962500;-14.49027778;0.895285;5.24e-15;411.30;11.000;25.000;NAN;NAN;0.60;NAN;17.150;17.150;0.716;4.523;-8.027;NAN;pksmb,htru_pks;NAN;
1826;J1809-1850;J1809-1850;NAN;NAN;NAN;51871.00;11.473;0.316;272.40504167;-18.84861111;1.124481;1.06e-14;598.00;55.000;NAN;NAN;NAN;0.20;NAN;4.667;4.667;0.026;0.928;3.926;NAN;pksmb;NAN;
1827;J1809-1917;J1809-1917;-19.000;50.000;NAN;55366.00;11.094;0.080;272.42973333;-19.29391667;0.082755;2.55e-14;197.10;17.000;26.000;0.01;NAN;2.80;NAN;3.268;3.268;0.005;0.629;5.293;XRS:PWN[kp07];pksmb,htru_pks;NAN;
1828;J1809-1943;J1809-1943;-6.600;-11.700;NAN;55444.00;10.727;-0.158;272.46286233;-19.73109208;5.540743;2.83e-12;178.00;150.000;NAN;NAN;NAN;0.70;NAN;3.600;3.153;-0.010;0.670;4.963;XRS:XTE_J1810-197;misc;AXP,HE;
1829;J1809-2004;J1809-2004;NAN;NAN;NAN;51719.00;10.363;-0.202;272.31612500;-20.07000000;0.434811;7.28e-15;867.10;46.300;NAN;NAN;NAN;0.90;NAN;5.227;5.227;-0.018;0.940;3.358;NAN;pksmb,htru_pks;NAN;
1830;B1806-21;J1809-2109;NAN;NAN;NAN;49612.00;9.415;-0.720;272.30970645;-21.15079899;0.702414;3.82e-15;381.91;8.900;15.000;NAN;NAN;0.84;NAN;4.123;4.123;-0.052;0.674;4.433;NAN;jb2,htru_pks,pksmb;NAN;
1831;J1809-2332;J1809-2332;12.000;-24.000;NAN;55770.00;7.390;-1.995;272.45937500;-23.53963333;0.146789;3.44e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.880;NAN;-0.031;0.113;7.628;GRS:4FGL_J1809.8-2332[aab+22],PWN:[brrk0;FermiBlind;NRAD[aab+22];
1832;J1809-3547;J1809-3547;NAN;NAN;NAN;49388.90;356.541;-7.766;272.36241667;-35.78833333;0.860388;1.20e-16;193.84;109.000;190.000;NAN;21.00;NAN;NAN;22.565;22.565;-3.049;-1.349;-13.817;NAN;pks70,gbncc,htru_pks;NAN;
1833;J1810+0705;J1810+0705;NAN;NAN;NAN;57770.00;34.694;12.248;272.69599167;7.09341667;0.307683;2.42e-16;79.40;11.300;46.000;NAN;NAN;NAN;NAN;5.453;5.453;1.157;3.033;4.119;NAN;lotaas,fast_gpps;NAN;
1834;J1810-1441;J1810-1441;NAN;NAN;NAN;51874.00;15.272;2.035;272.74650833;-14.69266667;0.217214;2.39e-17;304.90;14.000;NAN;NAN;NAN;0.21;NAN;6.755;6.755;0.240;1.778;1.988;NAN;pksmb,htru_pks;NAN;
1835;J1810-1709;J1810-1709;NAN;NAN;NAN;57573.00;13.051;0.956;272.61754167;-17.15750000;1.161133;3.33e-16;670.00;134.200;309.000;NAN;NAN;0.45;NAN;14.520;14.520;0.242;3.278;-5.643;NAN;htru_pks;NAN;
1836;J1810-1820;J1810-1820;NAN;NAN;NAN;50972.00;12.064;0.289;272.73133333;-18.34416667;0.153716;5.22e-17;452.00;7.800;31.000;NAN;NAN;0.70;NAN;4.237;4.237;0.021;0.886;4.357;NAN;pksmb,htru_pks;NAN;
1837;B1806-53;J1810-5338;NAN;NAN;NAN;57600.00;340.292;-15.901;272.68530417;-53.63545306;0.261050;3.86e-16;45.00;6.600;22.000;NAN;12.00;NAN;NAN;1.648;1.648;-0.452;-0.534;7.008;NAN;mol2,pks70,pkssw;NAN;
1838;J1811+0702;J1811+0702;NAN;NAN;NAN;51885.00;34.709;12.102;272.83508333;7.04158333;0.461713;2.69e-15;57.80;12.000;NAN;NAN;2.20;NAN;NAN;2.965;2.965;0.622;1.651;6.117;NAN;ar4,lotaas,pkssw;NAN;
1839;J1811-0154;J1811-0154;NAN;NAN;NAN;51650.00;26.613;8.029;272.83283333;-1.90858333;0.924945;1.61e-15;148.10;7.700;13.100;NAN;NAN;0.70;NAN;11.112;11.112;1.552;4.929;-1.337;NAN;pkssw,gbncc,htru_pks,fast_gpps;NAN;
1840;J1811-1049;J1811-1049;NAN;NAN;NAN;55983.50;18.712;3.830;272.82112500;-10.81750000;2.623859;8.00e-16;253.30;NAN;NAN;NAN;NAN;0.30;NAN;8.666;8.666;0.579;2.774;0.310;NAN;pksmb,htru_pks;NAN;
1841;J1811-1717;J1811-1717;NAN;NAN;NAN;56762.00;13.041;0.686;272.86054167;-17.29638889;0.391385;1.20e-16;545.50;38.800;59.000;NAN;NAN;0.20;NAN;5.184;5.184;0.062;1.170;3.450;NAN;htru_pks;NAN;
1842;J1811-1835;J1811-1835;NAN;NAN;NAN;51184.00;11.909;0.049;272.87383333;-18.59555556;0.557464;6.31e-15;761.00;16.700;NAN;NAN;NAN;0.42;NAN;4.933;4.933;0.004;1.018;3.673;NAN;pksmb,htru_pks;NAN;
1843;J1811-1925;J1811-1925;NAN;NAN;NAN;49452.60;11.181;-0.348;272.87166667;-19.42444444;0.064667;4.40e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;5.000;NAN;-0.030;0.970;3.595;GRS:4FGL_J1811.5-1925[aab+22],SNR:G11.2-;misc;NRAD;
1844;J1811-2439;J1811-2439;NAN;NAN;NAN;53165.00;6.632;-2.954;272.98137500;-24.66472222;0.415813;2.97e-16;167.20;14.000;24.000;NAN;NAN;0.26;NAN;3.756;3.756;-0.194;0.433;4.774;NAN;pksmb,gbncc,htru_pks;NAN;
1845;J1811-4930;J1811-4930;NAN;NAN;NAN;54996.00;344.222;-14.267;272.86329167;-49.50577778;1.432704;2.25e-15;44.00;11.000;39.000;NAN;NAN;0.40;NAN;1.447;1.447;-0.357;-0.381;7.150;NAN;htru_pks;NAN;
1846;B1810+02;J1812+0226;NAN;NAN;NAN;49906.00;30.709;9.692;273.22161561;2.44920135;0.793903;3.60e-15;104.10;6.700;9.200;NAN;3.80;0.30;NAN;7.187;7.187;1.210;3.618;2.409;NAN;gb3,pkssw,fast_gpps;NAN;
1847;J1812-15;J1812-15;NAN;NAN;NAN;NAN;14.736;1.298;273.15000000;-15.51666667;1.014529;NAN;431.00;18.700;34.200;NAN;NAN;NAN;NAN;10.035;10.035;0.227;2.552;-1.202;NAN;htru_pks;NAN;
1848;J1812-17;J1812-17;NAN;NAN;NAN;NAN;13.076;0.372;273.16666667;-17.41666667;2.182018;NAN;418.70;51.100;NAN;NAN;NAN;0.11;NAN;4.201;4.201;0.027;0.950;4.408;NAN;pksmb;NAN;
1849;B1809-173;J1812-1718;NAN;NAN;NAN;49612.00;13.109;0.538;273.03003585;-17.30818717;1.205374;1.91e-14;251.40;20.000;60.000;0.03;NAN;1.10;NAN;3.659;3.659;0.034;0.830;4.937;NAN;jb2,htru_pks,pksmb;NAN;
1850;B1809-176;J1812-1733;NAN;NAN;NAN;57382.00;12.904;0.387;273.06608021;-17.56051972;0.538341;9.82e-16;509.80;73.000;191.000;0.10;NAN;4.80;NAN;4.492;4.492;0.030;1.003;4.122;NAN;jb2,htru_pks,pksmb;NAN;
1851;J1812-1910;J1812-1910;NAN;NAN;NAN;51997.00;11.522;-0.456;273.14537500;-19.17750000;0.430991;3.77e-14;892.00;28.000;NAN;NAN;NAN;0.28;NAN;5.920;5.920;-0.047;1.182;2.699;NAN;pksmb,htru_pks;NAN;
1852;J1812-20;J1812-20;NAN;NAN;NAN;57615.00;9.954;-1.321;273.15241667;-20.96833333;1.903112;2.40e-16;457.00;102.800;392.000;NAN;NAN;NAN;NAN;11.214;11.214;-0.258;1.938;-2.542;NAN;htru_pks;NAN;
1853;J1812-2102;J1812-2102;NAN;NAN;NAN;51134.00;9.859;-1.303;273.08720833;-21.04333333;1.223352;2.39e-14;547.20;40.800;66.000;NAN;NAN;1.40;NAN;14.443;14.443;-0.329;2.472;-5.726;NAN;pksmb,htru_pks;NAN;
1854;J1812-2526;J1812-2526;NAN;NAN;NAN;53171.00;6.013;-3.448;273.13458333;-25.44388889;0.315835;1.77e-16;361.40;12.000;19.000;NAN;NAN;0.18;NAN;22.247;22.247;-1.338;2.326;-13.585;NAN;pksmb,htru_pks;NAN;
1855;J1812-2748;J1812-2748;NAN;NAN;NAN;55160.00;3.949;-4.598;273.16908333;-27.80083333;0.236983;3.16e-16;104.00;NAN;NAN;NAN;NAN;NAN;NAN;2.940;2.940;-0.236;0.202;5.576;NAN;htru_pks;NAN;
1856;J1812-3039;J1812-3039;NAN;NAN;NAN;55336.00;1.431;-5.962;273.18709167;-30.65583333;0.587477;6.60e-16;141.40;7.500;24.000;NAN;NAN;NAN;NAN;5.474;5.474;-0.569;0.136;3.057;NAN;htru_pks,gbncc;NAN;
1857;J1813+1822;J1813+1822;NAN;NAN;NAN;51886.00;45.544;16.401;273.41150000;18.37083333;0.336425;2.10e-17;60.80;10.500;20.700;NAN;0.60;NAN;NAN;4.988;4.988;1.408;3.415;5.149;NAN;ar4,fast_gpps;NAN;
1858;B1811+40;J1813+4013;NAN;NAN;NAN;49886.00;67.408;24.033;273.30533754;40.22750946;0.931089;2.55e-15;41.56;12.200;28.000;NAN;8.00;1.10;NAN;4.915;4.915;2.002;4.144;6.776;NAN;gb1,gb4,lotaas;NAN;
1859;J1813-1246;J1813-1246;NAN;NAN;NAN;54954.00;17.244;2.445;273.34904167;-12.76644444;0.048072;1.76e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;2.635;NAN;0.112;0.780;5.986;GRS:4FGL_J1813.4-1246[aab+22],XRS:Swift_;FermiBlind;NRAD[aab+22];
1860;J1813-17;J1813-17;NAN;NAN;NAN;NAN;13.424;0.222;273.47916667;-17.18333333;0.367591;NAN;692.00;18.700;NAN;NAN;NAN;0.12;NAN;4.889;4.889;0.019;1.135;3.745;NAN;pksmb;NAN;
1861;J1813-1749;J1813-1749;-5.000;-13.000;NAN;58090.00;12.816;-0.020;273.39658333;-17.83264444;0.044741;1.27e-13;1087.00;NAN;NAN;4.14;NAN;NAN;NAN;6.147;6.147;-0.002;1.364;2.506;SNR:12.8-0.0,GRS:HESS_J1813-178,XRS:CXOU;misc;HE[crhr21];
1862;J1813-2113;J1813-2113;NAN;NAN;NAN;51018.00;9.853;-1.656;273.41612500;-21.21677778;0.426466;2.08e-15;462.30;12.000;23.000;NAN;NAN;0.60;NAN;14.965;14.965;-0.432;2.560;-6.238;NAN;pksmb,htru_pks;NAN;
1863;J1813-2242;J1813-2242;NAN;NAN;NAN;51843.00;8.529;-2.329;273.37150000;-22.70166667;0.328514;4.78e-17;333.00;21.000;NAN;NAN;NAN;0.21;NAN;12.475;12.475;-0.507;1.849;-3.827;NAN;pksmb,htru_pks;NAN;
1864;J1814+1130;J1814+1130;NAN;NAN;NAN;51500.00;39.205;13.306;273.67809167;11.51220833;0.751261;1.66e-15;65.00;4.100;8.300;NAN;0.72;NAN;NAN;4.151;4.151;0.955;2.553;5.370;NAN;misc,lotaas,fast_gpps;NAN;
1865;J1814+22;J1814+22;NAN;NAN;NAN;NAN;49.493;17.779;273.65000000;22.38333333;0.253700;NAN;62.40;5.100;12.000;NAN;NAN;NAN;NAN;6.485;6.485;1.980;4.695;4.489;NAN;lotaas,fast_gpps;NAN;
1866;J1814+31;J1814+31;NAN;NAN;NAN;NAN;58.500;21.099;273.62916667;31.50027778;0.002090;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J1814.4+3132[aab+22];FermiAssoc;NRAD[aab+22];
1867;J1814-0521;J1814-0521;NAN;NAN;NAN;55257.00;23.905;5.730;273.60887500;-5.36027778;1.014219;8.84e-16;130.60;18.000;43.000;NAN;NAN;NAN;NAN;4.211;4.211;0.420;1.698;4.669;NAN;htru_pks,gbncc;NAN;
1868;J1814-0618;J1814-0618;NAN;NAN;NAN;53095.00;23.101;5.233;273.67191667;-6.30047222;1.377868;2.92e-16;168.00;48.000;194.000;NAN;NAN;0.58;NAN;5.990;5.990;0.546;2.340;3.013;NAN;pksmb;NAN;
1869;J1814-1649;J1814-1649;NAN;NAN;NAN;51133.00;13.820;0.245;273.65562500;-16.82444444;0.957464;6.33e-15;782.00;27.100;58.000;NAN;NAN;1.30;NAN;5.205;5.205;0.022;1.243;3.446;NAN;pksmb,htru_pks;NAN;
1870;J1814-1744;J1814-1744;NAN;NAN;NAN;52353.00;13.021;-0.215;273.67958333;-17.74666667;3.975905;7.45e-13;820.00;92.000;NAN;NAN;NAN;0.70;NAN;5.118;5.118;-0.019;1.153;3.514;NAN;pksmb,htru_pks;NAN;
1871;J1815+5546;J1815+5546;NAN;NAN;NAN;56500.00;84.316;27.133;273.77391993;55.77314169;0.426844;9.47e-17;59.00;11.000;18.000;NAN;NAN;NAN;NAN;25.000;25.000;11.402;22.139;6.296;NAN;gbncc,lotaas;NAN;
1872;J1815-1738;J1815-1738;NAN;NAN;NAN;55364.00;13.179;-0.272;273.81112500;-17.63523056;0.198457;7.78e-14;724.60;8.500;NAN;NAN;NAN;0.40;NAN;4.887;4.887;-0.023;1.114;3.742;NAN;pksmb,htru_pks;NAN;
1873;J1815-1910;J1815-1910;NAN;NAN;NAN;50954.00;11.810;-0.963;273.76283333;-19.16677778;1.249924;3.63e-14;547.80;25.400;52.000;NAN;NAN;0.32;NAN;6.133;6.133;-0.103;1.255;2.498;NAN;pksmb,htru_pks;NAN;
1874;J1816-0755;J1816-0755;NAN;NAN;NAN;53035.00;21.867;4.092;274.10226250;-7.92291667;0.217643;6.48e-15;117.90;4.200;9.100;NAN;NAN;0.17;NAN;3.152;3.152;0.225;1.171;5.582;GRS:[sbc+19];pksmb,FermiAssoc,gbncc,htru_pks;HE[sbc+19];
1875;J1816-1446;J1816-1446;NAN;NAN;NAN;51969.00;15.836;0.828;274.12162500;-14.77500000;0.594500;1.33e-15;629.00;25.000;NAN;NAN;NAN;0.23;NAN;10.089;10.089;0.146;2.753;-1.205;NAN;pksmb,htru_pks;NAN;
1876;B1813-17;J1816-1729;NAN;NAN;NAN;49481.00;13.433;-0.424;274.07775852;-17.48408470;0.782313;7.26e-15;520.70;16.000;37.000;0.01;NAN;1.30;NAN;4.435;4.435;-0.033;1.030;4.186;NAN;jb2,htru_pks,pksmb;NAN;
1877;B1813-26;J1816-2650;NAN;NAN;NAN;57600.00;5.219;-4.906;274.14749583;-26.83138889;0.592885;6.65e-17;128.12;40.000;65.500;0.00;18.00;2.38;NAN;3.592;3.592;-0.307;0.326;4.936;NAN;jb1,htru_pks,mol2,pks70,pksmb,pkssw;NAN;
1878;J1816-5643;J1816-5643;NAN;NAN;NAN;53000.00;337.673;-17.898;274.15193333;-56.72836111;0.217923;1.93e-18;52.40;6.400;22.600;NAN;NAN;NAN;NAN;2.580;2.580;-0.793;-0.933;6.229;NAN;pkssw;NAN;
1879;J1817-0743;J1817-0743;NAN;NAN;NAN;52887.00;22.211;3.876;274.45745833;-7.72191667;0.438095;-2.30e-18;14.80;13.000;34.000;NAN;NAN;0.25;NAN;0.195;0.195;0.013;0.074;8.320;NAN;pksmb;NAN;
1880;J1817-1511;J1817-1511;NAN;NAN;NAN;52160.00;15.595;0.391;274.40083333;-15.19416667;0.224604;1.43e-15;970.00;21.000;NAN;NAN;NAN;0.43;NAN;7.345;7.345;0.050;1.975;1.426;NAN;pksmb,htru_pks;NAN;
1881;J1817-1742;J1817-1742;NAN;NAN;NAN;55946.00;13.337;-0.703;274.28764167;-17.70030556;0.149744;2.06e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;GRS:4FGL_J1817.1-1742[aab+22];FermiBlind;NRAD[aab+22];
1882;J1817-1938;J1817-1938;NAN;NAN;NAN;55991.80;11.623;-1.617;274.27841667;-19.64333333;2.046838;3.60e-16;519.60;NAN;NAN;NAN;NAN;0.10;NAN;17.004;17.004;-0.480;3.424;-8.149;NAN;htru_pks,pksmb;NAN;
1883;B1814-23;J1817-2311;NAN;NAN;NAN;44969.00;8.489;-3.270;274.25000000;-23.18333333;0.625470;NAN;240.00;NAN;NAN;NAN;4.00;NAN;NAN;7.933;7.933;-0.452;1.169;0.667;NAN;misc;NAN;
1884;B1813-36;J1817-3618;19.000;-16.000;NAN;57600.00;356.801;-9.374;274.27440417;-36.30127778;0.387019;2.02e-15;94.13;9.400;17.000;NAN;22.00;3.20;NAN;4.383;4.383;-0.714;-0.241;4.182;NAN;mol2,gbncc,htru_pks,pks70,pkssw;NAN;
1885;J1817-3837;J1817-3837;NAN;NAN;NAN;49526.46;354.678;-10.406;274.25112500;-38.63325000;0.384487;5.80e-16;102.85;5.300;10.000;0.00;12.00;2.09;NAN;6.086;6.086;-1.099;-0.555;2.540;NAN;pks70,gbncc,htru_pks,pkssw;NAN;
1886;J1818-0151;J1818-0151;NAN;NAN;NAN;57015.00;27.482;6.479;274.60737500;-1.86500000;0.837535;9.11e-15;201.00;5.300;13.000;NAN;NAN;0.09;NAN;17.391;17.391;1.962;7.974;-6.830;NAN;htru_pks,fast_gpps;NAN;
1887;J1818-1116;J1818-1116;NAN;NAN;NAN;52158.00;19.144;2.068;274.61020833;-11.27472222;0.544800;3.82e-15;422.00;25.000;NAN;NAN;NAN;0.50;NAN;13.004;13.004;0.469;4.262;-3.777;NAN;pksmb,htru_pks;NAN;
1888;B1815-14;J1818-1422;NAN;NAN;NAN;54000.00;16.405;0.610;274.59902500;-14.37686389;0.291489;2.04e-15;619.65;17.100;53.000;0.06;NAN;9.60;NAN;5.439;5.439;0.058;1.536;3.283;NAN;jb2,htru_pks,pks1,pksmb;NAN;
1889;J1818-1448;J1818-1448;NAN;NAN;NAN;54863.10;16.031;0.390;274.61629167;-14.81055556;0.281371;6.15e-15;644.00;45.000;NAN;NAN;NAN;0.19;NAN;4.996;4.996;0.034;1.380;3.698;NAN;pksmb;NAN;
1890;J1818-1519;J1818-1519;NAN;NAN;NAN;51415.00;15.550;0.192;274.56083333;-15.32861111;0.939690;4.11e-15;845.00;130.400;NAN;NAN;NAN;2.10;NAN;5.361;5.361;0.018;1.437;3.335;NAN;pksmb,htru_pks;NAN;
1891;J1818-1541;J1818-1541;NAN;NAN;NAN;51491.00;15.270;-0.063;274.65633333;-15.69583333;0.551134;9.67e-15;690.00;27.200;NAN;NAN;NAN;1.00;NAN;4.792;4.792;-0.005;1.262;3.877;NAN;pksmb,htru_pks;NAN;
1892;J1818-1556;J1818-1556;NAN;NAN;NAN;54263.40;15.087;-0.227;274.71645833;-15.93444444;0.952709;7.06e-16;230.00;26.000;NAN;NAN;NAN;0.49;NAN;3.464;3.464;-0.014;0.902;5.155;NAN;pksmb,htru_pks;NAN;
1893;J1818-1607;J1818-1607;NAN;NAN;NAN;59080.20;14.815;-0.138;274.50080583;-16.13139025;1.363492;4.18e-11;699.20;40.000;NAN;0.04;NAN;0.20;NAN;4.808;4.808;-0.012;1.229;3.852;XRS:[bs20],XRS:[erb+20];misc;AXP[esy+20],HE[kdk+20];
